Episode,path
181,"[array([2, 1, 6]), array([1, 1, 6]), array([2, 2, 9]), array([1, 3, 8]), array([0, 2, 7]), array([-1,  3,  6])]"
182,"[array([2, 2, 9]), array([3, 1, 8]), array([2, 0, 7]), array([ 3, -1,  6])]"
183,"[array([2, 2, 9]), array([1, 3, 8]), array([0, 2, 7]), array([1, 1, 6]), array([2, 2, 9]), array([2, 3, 9]), array([1, 4, 8]), array([0, 3, 7]), array([0, 4, 7]), array([1, 5, 8])]"
184,"[array([2, 2, 9]), array([3, 3, 6]), array([2, 4, 7]), array([3, 5, 8])]"
185,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 3, 8]), array([1, 3, 8]), array([2, 2, 9]), array([1, 1, 6]), array([2, 2, 9]), array([2, 3, 9]), array([1, 2, 6]), array([0, 1, 9])]"
186,"[array([0, 1, 6]), array([-1,  2,  7])]"
187,"[array([0, 2, 7]), array([0, 1, 7]), array([-1,  0,  8])]"
188,"[array([2, 0, 7]), array([ 3, -1,  6])]"
189,"[array([2, 2, 9]), array([1, 1, 6]), array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([1, 1, 6]), array([0, 2, 7]), array([1, 1, 6]), array([0, 2, 7]), array([1, 3, 8])]"
190,"[array([0, 2, 7]), array([1, 3, 8]), array([0, 3, 8]), array([1, 4, 7]), array([2, 5, 8])]"
191,"[array([2, 2, 9]), array([3, 1, 8]), array([4, 0, 9]), array([ 3, -1,  6])]"
192,"[array([0, 2, 7]), array([0, 1, 7]), array([1, 2, 8]), array([2, 1, 9]), array([3, 2, 6]), array([2, 3, 7]), array([3, 4, 8])]"
193,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([2, 3, 9]), array([1, 2, 6]), array([0, 2, 6]), array([-1,  3,  7])]"
194,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([1, 1, 6]), array([0, 2, 7]), array([-1,  1,  8])]"
195,"[array([0, 0, 9]), array([-1, -1,  6])]"
196,"[array([0, 2, 7]), array([-1,  3,  6])]"
197,"[array([0, 2, 7]), array([0, 1, 7]), array([1, 2, 8]), array([2, 1, 9]), array([1, 0, 6]), array([0, 1, 7]), array([1, 0, 6]), array([2, 0, 6]), array([1, 1, 7]), array([2, 2, 8])]"
198,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([1, 1, 6]), array([2, 1, 6]), array([1, 2, 7]), array([2, 3, 8]), array([1, 3, 8]), array([2, 2, 9]), array([1, 1, 6])]"
199,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([3, 1, 8]), array([4, 0, 9]), array([ 4, -1,  9])]"
200,"[array([0, 1, 6]), array([-1,  2,  7])]"
201,"[array([0, 2, 7]), array([-1,  1,  8])]"
202,"[array([0, 2, 7]), array([0, 1, 7]), array([-1,  2,  6])]"
203,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([3, 3, 6]), array([2, 2, 9]), array([1, 1, 6]), array([0, 2, 7]), array([1, 3, 8]), array([0, 4, 9]), array([-1,  3,  6])]"
204,"[array([0, 2, 7]), array([1, 3, 8]), array([0, 4, 9]), array([-1,  3,  6])]"
205,"[array([2, 1, 6]), array([1, 2, 7]), array([0, 1, 8]), array([-1,  2,  9])]"
206,"[array([0, 2, 7]), array([-1,  3,  6])]"
207,"[array([2, 1, 6]), array([1, 0, 9]), array([ 0, -1,  6])]"
208,"[array([0, 0, 9]), array([ 1, -1,  8])]"
